Time (UTCG),Ex (V/m),Ey (V/m),Ez (V/m),Etot (V/m)
1 Jan 2011 00:21:31.000,-0.09516524261254171,0.03387144740019211,0.0032143167305783865,0.1010644852682305
1 Jan 2011 00:21:32.000,-0.09515985433341227,0.03386814509069988,0.0031964063982063773,0.10105773667811602
1 Jan 2011 00:21:33.000,-0.09515500445139805,0.033865326057429514,0.0031788201130014343,0.10105167033964564
1 Jan 2011 00:21:34.000,-0.09514935354244773,0.03386166268083875,0.0031607565980687033,0.10104455483265218
1 Jan 2011 00:21:35.000,-0.09514454044281169,0.03385877361863665,0.0031431789332111997,0.10103850603031547
1 Jan 2011 00:21:36.000,-0.09513924876447856,0.033855332829504106,0.0031252893806128185,0.1010318150395132
1 Jan 2011 00:21:37.000,-0.09513416500776851,0.03385207986943448,0.003107559035334086,0.10102539080038238
1 Jan 2011 00:21:38.000,-0.0951289113839076,0.03384855411097938,0.0030896864026342657,0.10101871390271144
1 Jan 2011 00:21:39.000,-0.09512419578466762,0.033845528769123015,0.0030721294743140323,0.10101272405419161
1 Jan 2011 00:21:40.000,-0.09511897315950833,0.03384192925847517,0.0030542658771314495,0.10100605809011216
1 Jan 2011 00:21:41.000,-0.09511397306603464,0.033838525210606034,0.003036561882474526,0.10099967509304811
1 Jan 2011 00:21:42.000,-0.0951087896199817,0.03383485506866382,0.003018707641528256,0.1009930288501164
1 Jan 2011 00:21:43.000,-0.09510416595869846,0.03383167649820603,0.0030011799112366947,0.10098708728465505
1 Jan 2011 00:21:44.000,-0.09509902250578986,0.03382792195977774,0.002983342897486616,0.10098045712174966
1 Jan 2011 00:21:45.000,-0.09509391656247966,0.033824137501397386,0.0029655115933864334,0.10097385554645216
1 Jan 2011 00:21:46.000,-0.09508902562937577,0.03382056724813322,0.0029478291929402787,0.10096753567895145
1 Jan 2011 00:21:47.000,-0.09508394625672091,0.033816698350611865,0.002930012278219917,0.10096093747107238
1 Jan 2011 00:21:48.000,-0.09507941218525615,0.033813337588439865,0.0029125102773046706,0.10095503522102818
1 Jan 2011 00:21:49.000,-0.0950743962977395,0.03380941598784389,0.0028946983697751985,0.10094848547388255
1 Jan 2011 00:21:50.000,-0.09506939041701526,0.03380545049042502,0.002876893760026521,0.10094193377793953
1 Jan 2011 00:21:51.000,-0.0950649296486918,0.033801980563446646,0.0028594117462244512,0.10093607370339304
1 Jan 2011 00:21:52.000,-0.09505996611975119,0.0337979311432825,0.002841625009262715,0.10092954047724371
1 Jan 2011 00:21:53.000,-0.09505470141441864,0.0337935542656747,0.002823679321714727,0.10092261260888594
1 Jan 2011 00:21:54.000,-0.09505030703998486,0.03378997193925003,0.0028062178221654474,0.1009167871591052
1 Jan 2011 00:21:55.000,-0.09504541905431448,0.0337858260950877,0.002788444108336258,0.10091030249029616
1 Jan 2011 00:21:56.000,-0.09504054803112068,0.03378163330336948,0.0027706811983739493,0.10090382149850471
1 Jan 2011 00:21:57.000,-0.09503621558225474,0.03377794231210127,0.0027532371232039817,0.10089802760060787
1 Jan 2011 00:21:58.000,-0.09503138866136192,0.03377367995986689,0.00273548456437466,0.10089157132654974
1 Jan 2011 00:21:59.000,-0.0950266031334636,0.033769380499965515,0.002717742932181001,0.1008851450367281
1 Jan 2011 00:22:00.000,-0.09502182113759616,0.033765034229940254,0.0027000090248152945,0.10087870973395942
1 Jan 2011 00:22:01.000,-0.09501758333411359,0.03376120246938422,0.002682588824824525,0.10087297069897887
1 Jan 2011 00:22:02.000,-0.0950128546915929,0.03375679011427973,0.0026648655745604693,0.10086657000213578
1 Jan 2011 00:22:03.000,-0.0950081519785409,0.03375234823757935,0.002647145367634739,0.10086018705379116
1 Jan 2011 00:22:04.000,-0.0950031334682002,0.033747548872710614,0.0026292814343791544,0.10085338638119111
1 Jan 2011 00:22:05.000,-0.09499898649407675,0.03374357978856298,0.0026118826143707997,0.10084769973896353
1 Jan 2011 00:22:06.000,-0.09499435620488057,0.03373901118368793,0.002594192751376576,0.10084135274015342
1 Jan 2011 00:22:07.000,-0.09498973848463445,0.03373441316999779,0.0025765028262816703,0.10083501086486381
1 Jan 2011 00:22:08.000,-0.09498516361881372,0.033729778334777534,0.0025588242073177046,0.10082870045542586
1 Jan 2011 00:22:09.000,-0.09498059354040418,0.033725110884556056,0.0025411455909712735,0.10082238677187513
1 Jan 2011 00:22:10.000,-0.09497656674583543,0.03372094839756923,0.002523787908029259,0.10081676496030992
1 Jan 2011 00:22:11.000,-0.09497205859401332,0.0337161981717928,0.002506131977699761,0.10081048869157391
1 Jan 2011 00:22:12.000,-0.09496757192741186,0.033711421920114615,0.002488476157640842,0.10080422709019336
1 Jan 2011 00:22:13.000,-0.0949630987743643,0.03370660250378984,0.00247082860302038,0.10079796711820961
1 Jan 2011 00:22:14.000,-0.094958653163917,0.03370173995226882,0.0024531926083888956,0.10079172208316163
1 Jan 2011 00:22:15.000,-0.09495457358689902,0.033697153865787165,0.0024357177305771903,0.10078592136100857
1 Jan 2011 00:22:16.000,-0.09495019151485365,0.03369222235568463,0.0024180966315097154,0.1007797197222318
1 Jan 2011 00:22:17.000,-0.09494583170412053,0.03368725105696186,0.00240048397415416,0.1007735290891022
1 Jan 2011 00:22:18.000,-0.09494199216345534,0.03368279925749345,0.0023831801092658845,0.1007680127283426
1 Jan 2011 00:22:19.000,-0.09493767463875218,0.03367775631039148,0.0023655794065070212,0.10076184447420647
1 Jan 2011 00:22:20.000,-0.09493339372779531,0.033672673674436604,0.0023479905214207966,0.10075570086377438
1 Jan 2011 00:22:21.000,-0.09492912756694054,0.0336675619913766,0.0023304020656793305,0.10074956458889228
1 Jan 2011 00:22:22.000,-0.09492489833288231,0.03366241067768929,0.0023128255085828075,0.10074345327600501
1 Jan 2011 00:22:23.000,-0.0949206979601362,0.033657216518089325,0.0022952608970253693,0.10073735825189364
1 Jan 2011 00:22:24.000,-0.09491651280749744,0.03365199339310462,0.002277696822934744,0.10073127104173057
1 Jan 2011 00:22:25.000,-0.0949123429829847,0.03364672748219841,0.0022601415318180347,0.10072518731938353
1 Jan 2011 00:22:26.000,-0.0949082107315628,0.03364142208546351,0.0022425983194698067,0.10071912922291144
1 Jan 2011 00:22:27.000,-0.09490444868154853,0.03363639591750009,0.002225214413139963,0.10071351989207775
1 Jan 2011 00:22:28.000,-0.0949003619402378,0.03363101915870318,0.0022076838187727937,0.1007074873774779
1 Jan 2011 00:22:29.000,-0.09489631321619865,0.03362560300338773,0.002190165432118116,0.1007014809423792
1 Jan 2011 00:22:30.000,-0.09489228887032689,0.03362016126435767,0.0021726477973397387,0.10069549209841654
1 Jan 2011 00:22:31.000,-0.09488829463886345,0.03361467695879175,0.0021551424544789385,0.10068952083268043
1 Jan 2011 00:22:32.000,-0.09488433061111583,0.033609150104822856,0.0021376494490744293,0.10068356723644219
1 Jan 2011 00:22:33.000,-0.09488071683106183,0.03360390061352868,0.002120311596370198,0.10067804271084016
1 Jan 2011 00:22:34.000,-0.09487630721839949,0.0335977363858651,0.0021025337524555768,0.1006714567781475
1 Jan 2011 00:22:35.000,-0.09487241605109976,0.033592112635332655,0.002085054926699131,0.10066554928437632
1 Jan 2011 00:22:36.000,-0.09486855571629269,0.033586432731474394,0.002067596913279161,0.10065965569341566
1 Jan 2011 00:22:37.000,-0.09486472094955793,0.03358072744767135,0.0020501399155780408,0.10065378090477144
1 Jan 2011 00:22:38.000,-0.0948612519150355,0.03357528692899264,0.0020328488645121427,0.10064834564839087
1 Jan 2011 00:22:39.000,-0.0948574660471752,0.03356951093556198,0.0020154053663486377,0.10064249991000082
1 Jan 2011 00:22:40.000,-0.094853719949061,0.033563695906556154,0.0019979745553281147,0.10063668204688787
1 Jan 2011 00:22:41.000,-0.09485000548616788,0.033557838660068735,0.0019805564835499614,0.10063088333233398
1 Jan 2011 00:22:42.000,-0.09484581876091755,0.03355138302902609,0.0019628428983826042,0.10062443734914979
1 Jan 2011 00:22:43.000,-0.09484249005081287,0.033545762756075834,0.0019455913868458635,0.10061909085143848
1 Jan 2011 00:22:44.000,-0.0948388527447033,0.033539795707775696,0.001928196929077067,0.10061333822832909
1 Jan 2011 00:22:45.000,-0.09483524768117885,0.033533800259841685,0.0019108070179047157,0.10060760978214904
1 Jan 2011 00:22:46.000,-0.09483166966719038,0.03352775230688025,0.0018934352080290933,0.10060189284255856
1 Jan 2011 00:22:47.000,-0.09482846041587652,0.03352198487495033,0.0018762196557198796,0.1005966230794969
1 Jan 2011 00:22:48.000,-0.09482445120120045,0.03351531838019254,0.0018585527762045332,0.10059029441331034
1 Jan 2011 00:22:49.000,-0.09482095810525118,0.033509157910615636,0.0018412084759973784,0.10058463008098434
1 Jan 2011 00:22:50.000,-0.09481784315834241,0.03350328185404936,0.0018240199670553053,0.10057942297026817
1 Jan 2011 00:22:51.000,-0.09481441112435288,0.033497054670354964,0.0018066901735003082,0.10057380055377038
1 Jan 2011 00:22:52.000,-0.09481051718835981,0.03349023545491596,0.0017890616320206856,0.10056754338191398
1 Jan 2011 00:22:53.000,-0.09480714707822324,0.033483941051784906,0.0017717468456429064,0.10056196364608393
1 Jan 2011 00:22:54.000,-0.09480414805060237,0.03347791508312412,0.0017545956678522868,0.10055682916575606
1 Jan 2011 00:22:55.000,-0.09480033772833402,0.03347097222607011,0.0017370010622704062,0.1005506200272026
1 Jan 2011 00:22:56.000,-0.0947970558859344,0.033464565998873735,0.0017197146820183335,0.10054509635343484
1 Jan 2011 00:22:57.000,-0.09479415456023056,0.0334584321107795,0.00170259146619195,0.1005400280276531
1 Jan 2011 00:22:58.000,-0.09479043447817201,0.033451376319967245,0.0016850260029728835,0.10053387667294732
1 Jan 2011 00:22:59.000,-0.09478758401774998,0.033445176181597376,0.0016679144954521473,0.10052884079956477
1 Jan 2011 00:23:00.000,-0.0947844214401407,0.0334386202837009,0.0016506670880427634,0.10052339317818158
1 Jan 2011 00:23:01.000,-0.0947808100770433,0.0334314583471255,0.0016331311655962551,0.1005173193210015
1 Jan 2011 00:23:02.000,-0.09477805128512828,0.03342513398959962,0.0016160567730782239,0.10051233868099432
1 Jan 2011 00:23:03.000,-0.09477498881344551,0.03341847021486091,0.0015988387002385303,0.10050695966588408
1 Jan 2011 00:23:04.000,-0.09477147062906816,0.033411195974099805,0.0015813327225887238,0.10050094663631562
1 Jan 2011 00:23:05.000,-0.09476881344601425,0.0334047645180268,0.001564287361017164,0.10049603618759353
1 Jan 2011 00:23:06.000,-0.09476534036806998,0.03339742002888979,0.0015467944086167342,0.10049004912231246
1 Jan 2011 00:23:07.000,-0.09476275027676499,0.03339092284304825,0.0015297646817180317,0.10048518671082
1 Jan 2011 00:23:08.000,-0.09475984789871877,0.03338406871030699,0.0015126009920690992,0.10047991231686075
1 Jan 2011 00:23:09.000,-0.09475647901097108,0.03337660216022207,0.001495147209706654,0.10047399340872759
1 Jan 2011 00:23:10.000,-0.09475397094313912,0.0333699951537851,0.0014781439456471466,0.10046918182000363
1 Jan 2011 00:23:11.000,-0.09475068442531176,0.033362461932077495,0.0014607100972815036,0.10046332534424011
1 Jan 2011 00:23:12.000,-0.09474823653929057,0.033355772807696873,0.001443731482559277,0.1004585499969902
1 Jan 2011 00:23:13.000,-0.09474501957368095,0.03334817304666335,0.001426314511585259,0.10045274387817064
1 Jan 2011 00:23:14.000,-0.09474263255363868,0.03334141544371984,0.0014093521479591942,0.10044800983823161
1 Jan 2011 00:23:15.000,-0.09473947722627798,0.03333373258233866,0.0013919608303543571,0.10044224125303333
1 Jan 2011 00:23:16.000,-0.09473683252866752,0.03332658210298858,0.0013748807433696109,0.10043713859569339
1 Jan 2011 00:23:17.000,-0.09473406728303517,0.03331914404916496,0.0013576494292968342,0.10043182800351944
1 Jan 2011 00:23:18.000,-0.09473149309022755,0.03331192824580717,0.0013405863479981522,0.10042677689896293
1 Jan 2011 00:23:19.000,-0.09472880459596505,0.0333044077692795,0.001323383916285231,0.10042151832168669
1 Jan 2011 00:23:20.000,-0.09472629291261704,0.0332971235361929,0.0013063380120112357,0.10041651021496932
1 Jan 2011 00:23:21.000,-0.09472367703686449,0.03328952402779077,0.0012891614425568996,0.10041130085107972
1 Jan 2011 00:23:22.000,-0.09472074475168214,0.03328158137017115,0.0012718427904373738,0.10040568076008564
1 Jan 2011 00:23:23.000,-0.09471867260656187,0.033274506537141896,0.0012549704938769038,0.1004011687012649
1 Jan 2011 00:23:24.000,-0.09471581842846719,0.03326648150985347,0.0012376816179150037,0.10039560203717647
1 Jan 2011 00:23:25.000,-0.09471382418841832,0.033259325561292116,0.0012208384564187003,0.10039114341276975
1 Jan 2011 00:23:26.000,-0.09471103065356751,0.033251234929074266,0.0012035644264825319,0.10038561908509698
1 Jan 2011 00:23:27.000,-0.09470861994068466,0.03324341922615254,0.0011864494629029551,0.10038055227604001
1 Jan 2011 00:23:28.000,-0.09470637415977619,0.03323583873578711,0.0011694916042910431,0.10037572412478664
1 Jan 2011 00:23:29.000,-0.09470403017265534,0.03322795478486202,0.0011523945878545684,0.1003707045079099
1 Jan 2011 00:23:30.000,-0.09470173550313261,0.03322003319061102,0.0011353125707930384,0.10036572247099099
1 Jan 2011 00:23:31.000,-0.09469959577416402,0.03321233106267118,0.0011183966046897755,0.10036096445018809
1 Jan 2011 00:23:32.000,-0.09469735552193653,0.033204341442016824,0.0011013295936205321,0.10035601805731366
1 Jan 2011 00:23:33.000,-0.09469481234403483,0.0331959937515115,0.001084135110980311,0.10035066932991141
1 Jan 2011 00:23:34.000,-0.09469313296745473,0.0331885042326815,0.0010673953708627633,0.10034642782517232
1 Jan 2011 00:23:35.000,-0.09469065826369578,0.03318007507728707,0.0010502285554488215,0.10034112379560589
1 Jan 2011 00:23:36.000,-0.09468857811628442,0.03317193932749521,0.0010332107017804741,0.10033629407539923
1 Jan 2011 00:23:37.000,-0.09468651769281992,0.03316375978553071,0.0010162049824397237,0.10033147197400934
1 Jan 2011 00:23:38.000,-0.09468464006979004,0.03315580811012465,0.0009993690692560136,0.10032690274855335
1 Jan 2011 00:23:39.000,-0.09468265860939172,0.03314755100333042,0.0009823910305179716,0.10032213649538098
1 Jan 2011 00:23:40.000,-0.09468037433793108,0.03313894820388238,0.0009652784838709903,0.10031697231965178
1 Jan 2011 00:23:41.000,-0.09467846420321378,0.0331306233411715,0.0009483197009288214,0.10031225796037581
1 Jan 2011 00:23:42.000,-0.09467707179804818,0.0331228431216579,0.0009316718447509157,0.10030821837287826
1 Jan 2011 00:23:43.000,-0.0946749011005853,0.033114118964628105,0.0009146035538398884,0.100303131919546
1 Jan 2011 00:23:44.000,-0.09467310553798235,0.03310568663792714,0.0008976797544526349,0.10029850063144576
1 Jan 2011 00:23:45.000,-0.09467100284753208,0.033096897914986045,0.0008806282894181117,0.10029346408384028
1 Jan 2011 00:23:46.000,-0.09466928038987253,0.0330883849983451,0.0008637330691831491,0.10028888226593122
1 Jan 2011 00:23:47.000,-0.09466761026557524,0.03307983514633413,0.0008468537282727515,0.10028434119014083
1 Jan 2011 00:23:48.000,-0.09466609660593064,0.03307152597601257,0.0008301328583080941,0.1002800318984189
1 Jan 2011 00:23:49.000,-0.09466447810514864,0.0330628930000866,0.000813279032529103,0.10027551910232174
1 Jan 2011 00:23:50.000,-0.09466291250127533,0.0330542496199208,0.000796423481919957,0.10027105620029489
