Time (UTCG),Lat (deg),Lon (deg),Alt (km),vx (km/sec),vy (km/sec),vz (km/sec),vx (km/sec).1,vy (km/sec).1,vz (km/sec).1,B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
1 Jan 2011 00:00:10.000,-80.014,97.035,3020.697479,-0.963756,-5.709914,-0.973311,5.824552,-0.051349,-0.979726,1.7846494656963998e-05,-2.3510092434315313e-06,-1.3296060356711856e-06,1.7640926134085218e-05
1 Jan 2011 00:00:11.000,-80.048,97.09299999999999,3020.6934079999996,-0.964493,-5.7105440000000005,-0.9688540000000001,5.825307,-0.051115,-0.9752700000000001,1.7845747631326246e-05,-2.3481945567562267e-06,-1.3368625153098528e-06,1.7639996866773138e-05
1 Jan 2011 00:00:12.000,-80.082,97.152,3020.688516,-0.9652299999999999,-5.711172,-0.9643959999999999,5.826059,-0.050882,-0.970814,1.784501258584426e-05,-2.3453282538422507e-06,-1.3441566695564295e-06,1.7639080259989642e-05
1 Jan 2011 00:00:13.000,-80.117,97.211,3020.682803,-0.965967,-5.711797,-0.959938,5.826809,-0.050649,-0.966357,1.7844210732110023e-05,-2.3424605403522078e-06,-1.3515929848954174e-06,1.763808185920524e-05
1 Jan 2011 00:00:14.000,-80.15100000000001,97.27,3020.676268,-0.9667030000000001,-5.712419000000001,-0.9554799999999999,5.8275559999999995,-0.050416,-0.961899,1.7843458324332773e-05,-2.339589407849961e-06,-1.358881988331908e-06,1.7637141665152656e-05
1 Jan 2011 00:00:15.000,-80.185,97.33,3020.6689109999998,-0.9674379999999999,-5.713038,-0.9510209999999999,5.8283,-0.050182,-0.957441,1.784271748857512e-05,-2.3366664696276186e-06,-1.3662084376148917e-06,1.763621364385826e-05
1 Jan 2011 00:00:16.000,-80.219,97.391,3020.6607329999997,-0.968174,-5.713655,-0.9465620000000001,5.829041,-0.049949,-0.952982,1.7841987965948273e-05,-2.333691604928731e-06,-1.3735721987417618e-06,1.7635297487850095e-05
1 Jan 2011 00:00:17.000,-80.25399999999999,97.45200000000001,3020.6517329999997,-0.968909,-5.714268,-0.942102,5.82978,-0.049716,-0.948523,1.7841190359419004e-05,-2.330715078272103e-06,-1.3810778344605414e-06,1.7634297963914028e-05
1 Jan 2011 00:00:18.000,-80.288,97.51299999999999,3020.641911,-0.969643,-5.714879,-0.937642,5.830515,-0.049482,-0.9440639999999999,1.7840442844042278e-05,-2.327735090978648e-06,-1.3884360352892904e-06,1.763335746798312e-05
1 Jan 2011 00:00:19.000,-80.322,97.575,3020.631268,-0.9703780000000001,-5.715487,-0.9331809999999999,5.831248,-0.049249,-0.9396040000000001,1.7839706229087353e-05,-2.3247029816789126e-06,-1.3958313059689568e-06,1.7632428345307076e-05
1 Jan 2011 00:00:20.000,-80.35600000000001,97.637,3020.619803,-0.9711110000000001,-5.716092,-0.9287200000000001,5.831977999999999,-0.049014999999999996,-0.9351440000000001,1.7838960585626037e-05,-2.3216682515771673e-06,-1.4032236948526038e-06,1.763148702087666e-05
1 Jan 2011 00:00:21.000,-80.39,97.7,3020.6075170000004,-0.9718450000000001,-5.716695,-0.924258,5.832705000000001,-0.048782,-0.930683,1.783822551121356e-05,-2.3185812390841755e-06,-1.4106529588675633e-06,1.7630556674600925e-05
1 Jan 2011 00:00:22.000,-80.42399999999999,97.76299999999999,3020.594409,-0.972578,-5.717294,-0.919796,5.83343,-0.048548,-0.926221,1.7837481251623535e-05,-2.3154915302661836e-06,-1.4180792317391645e-06,1.7629613939839884e-05
1 Jan 2011 00:00:23.000,-80.458,97.82700000000001,3020.5804789999997,-0.973311,-5.717891000000001,-0.915333,5.834151,-0.048315,-0.92176,1.783674723576905e-05,-2.3123493778042185e-06,-1.4255421806312734e-06,1.762868179413663e-05
1 Jan 2011 00:00:24.000,-80.493,97.891,3020.565728,-0.974043,-5.718485,-0.9108700000000001,5.83487,-0.048081,-0.9172969999999999,1.7835942950925466e-05,-2.309205162952011e-06,-1.4331465179576937e-06,1.7627663586593924e-05
1 Jan 2011 00:00:25.000,-80.527,97.956,3020.550156,-0.974775,-5.719076,-0.906407,5.835586,-0.047848,-0.9128350000000001,1.7835209246442226e-05,-2.306007603300814e-06,-1.4406428126236838e-06,1.7626728740306093e-05
1 Jan 2011 00:00:26.000,-80.561,98.021,3020.533761,-0.975507,-5.719664,-0.901943,5.8362989999999995,-0.047614,-0.9083709999999999,1.7834466050938627e-05,-2.302807195293437e-06,-1.4481358894182878e-06,1.7625781139829403e-05
1 Jan 2011 00:00:27.000,-80.595,98.087,3020.516545,-0.9762379999999999,-5.720249,-0.8974780000000001,5.83701,-0.047381,-0.903908,1.78337324309304e-05,-2.2995540124582758e-06,-1.4556652272542764e-06,1.762484333286309e-05
1 Jan 2011 00:00:28.000,-80.62899999999999,98.15299999999999,3020.4985079999997,-0.9769690000000001,-5.720832,-0.893013,5.837717,-0.047147,-0.899444,1.7832989153694108e-05,-2.296297901535939e-06,-1.463191228257605e-06,1.7623892576066258e-05
1 Jan 2011 00:00:29.000,-80.663,98.22,3020.479649,-0.977699,-5.721411,-0.888548,5.8384220000000004,-0.046912999999999996,-0.8949790000000001,1.783225512803667e-05,-2.2929888489513083e-06,-1.4707532761154797e-06,1.7622951225341643e-05
1 Jan 2011 00:00:30.000,-80.697,98.287,3020.459968,-0.9784290000000001,-5.721988,-0.8840819999999999,5.839124,-0.04668,-0.8905139999999999,1.7831511296609986e-05,-2.2896767911828927e-06,-1.478311867175139e-06,1.7621996746578327e-05
1 Jan 2011 00:00:31.000,-80.73100000000001,98.354,3020.439466,-0.979159,-5.722562,-0.879616,5.839823,-0.046446,-0.886048,1.783075766440298e-05,-2.286361733505887e-06,-1.485866988764575e-06,1.7621029147070987e-05
1 Jan 2011 00:00:32.000,-80.765,98.42299999999999,3020.418142,-0.9798879999999999,-5.723133,-0.875149,5.84052,-0.046212,-0.881582,1.7830031508175792e-05,-2.282943366848258e-06,-1.4934971218623067e-06,1.7620092494459104e-05
1 Jan 2011 00:00:33.000,-80.79899999999999,98.492,3020.395996,-0.980617,-5.723701999999999,-0.870682,5.841213,-0.045979,-0.877116,1.7829295228367982e-05,-2.2795218299666897e-06,-1.5011235611700126e-06,1.761914233500345e-05
1 Jan 2011 00:00:34.000,-80.833,98.561,3020.373029,-0.9813459999999999,-5.724267,-0.8662139999999999,5.841904,-0.045745,-0.872649,1.7828548830765448e-05,-2.276097128743907e-06,-1.508746293391241e-06,1.7618178676971408e-05
1 Jan 2011 00:00:35.000,-80.867,98.631,3020.349241,-0.982074,-5.72483,-0.8617459999999999,5.842592,-0.045511,-0.868182,1.7827810693699167e-05,-2.2726189706521002e-06,-1.5164043970101063e-06,1.761722324457901e-05
1 Jan 2011 00:00:36.000,-80.90100000000001,98.70100000000001,3020.324631,-0.9828020000000001,-5.72539,-0.8572780000000001,5.843277,-0.045277,-0.863714,1.782706229241892e-05,-2.2691375694594694e-06,-1.5240586650483404e-06,1.7616254137986977e-05
1 Jan 2011 00:00:37.000,-80.935,98.772,3020.299199,-0.9835290000000001,-5.725947,-0.852809,5.843959,-0.045043,-0.859245,1.7826321830145895e-05,-2.265602537805033e-06,-1.531748069948273e-06,1.761529287246843e-05
1 Jan 2011 00:00:38.000,-80.969,98.844,3020.272946,-0.9842559999999999,-5.726501,-0.848339,5.844638,-0.044808999999999995,-0.854777,1.782558904997055e-05,-2.2620137385017368e-06,-1.5394724376414495e-06,1.761433914284046e-05
1 Jan 2011 00:00:39.000,-81.002,98.916,3020.245871,-0.9849829999999999,-5.727053,-0.8438690000000001,5.845315,-0.044576,-0.850308,1.7824910440955036e-05,-2.258421169152984e-06,-1.54704855219977e-06,1.7613449600459478e-05
1 Jan 2011 00:00:40.000,-81.036,98.988,3020.217975,-0.9857090000000001,-5.727601,-0.839399,5.845989,-0.044342,-0.8458379999999999,1.7824156772115452e-05,-2.2548255751316252e-06,-1.5547647507112647e-06,1.761246810735586e-05
1 Jan 2011 00:00:41.000,-81.07,99.06200000000001,3020.189257,-0.9864350000000001,-5.728147,-0.8349280000000001,5.84666,-0.044108,-0.841368,1.7823428233133828e-05,-2.2511254058952267e-06,-1.5625543642294296e-06,1.7611514763001865e-05
1 Jan 2011 00:00:42.000,-81.104,99.135,3020.159717,-0.98716,-5.72869,-0.830457,5.847328,-0.043874,-0.8368969999999999,1.7822671049157396e-05,-2.2474722923782552e-06,-1.5703009170010343e-06,1.7610526018592713e-05
1 Jan 2011 00:00:43.000,-81.138,99.21,3020.129356,-0.987885,-5.72923,-0.8259850000000001,5.847994,-0.04364,-0.832426,1.7821938488200297e-05,-2.2437143236733672e-06,-1.578120518960138e-06,1.7609564819681803e-05
1 Jan 2011 00:00:44.000,-81.172,99.285,3020.0981739999997,-0.98861,-5.729767,-0.8215129999999999,5.848656,-0.043406,-0.8279549999999999,1.782119488115516e-05,-2.2399526876788225e-06,-1.585935624713722e-06,1.7608589016253833e-05
1 Jan 2011 00:00:45.000,-81.205,99.36,3020.06617,-0.989334,-5.730302,-0.81704,5.849316,-0.043172,-0.823483,1.782050658576111e-05,-2.236187166059731e-06,-1.5936021934139542e-06,1.7607678835685617e-05
1 Jan 2011 00:00:46.000,-81.23899999999999,99.43700000000001,3020.033344,-0.990058,-5.7308330000000005,-0.812567,5.849973,-0.042938,-0.8190109999999999,1.7819776013072598e-05,-2.232316565194493e-06,-1.6014852401663285e-06,1.7606715336324525e-05
1 Jan 2011 00:00:47.000,-81.273,99.51299999999999,3019.9996969999997,-0.9907809999999999,-5.731362,-0.808094,5.850626999999999,-0.042704,-0.814538,1.7819016769914457e-05,-2.2284930136422825e-06,-1.6093250955822137e-06,1.760571640892155e-05
1 Jan 2011 00:00:48.000,-81.307,99.59100000000001,3019.965228,-0.991504,-5.731888,-0.80362,5.851279,-0.042469,-0.8100649999999999,1.7818280820965526e-05,-2.2245638463856755e-06,-1.6172369914553223e-06,1.7604743440948244e-05
1 Jan 2011 00:00:49.000,-81.34,99.669,3019.9299379999998,-0.9922270000000001,-5.732411,-0.799145,5.851927,-0.042235,-0.805591,1.7817600788350762e-05,-2.220630606851982e-06,-1.625000025974174e-06,1.760383686803913e-05
1 Jan 2011 00:00:50.000,-81.374,99.74799999999999,3019.893827,-0.992949,-5.732932,-0.79467,5.8525730000000005,-0.042001,-0.801117,1.7816859174513727e-05,-2.216642570518383e-06,-1.6329403069495141e-06,1.760285410133707e-05
1 Jan 2011 00:00:51.000,-81.408,99.82700000000001,3019.856894,-0.9936709999999999,-5.733449,-0.790195,5.853216000000001,-0.041767,-0.796642,1.7816105918785187e-05,-2.212650525387418e-06,-1.6408755065365438e-06,1.760185601957713e-05
1 Jan 2011 00:00:52.000,-81.442,99.90700000000001,3019.819139,-0.9943930000000001,-5.733964,-0.78572,5.8538559999999995,-0.041533,-0.792167,1.7815357912326158e-05,-2.208603329518702e-06,-1.6488437147573148e-06,1.7600862572085113e-05
1 Jan 2011 00:00:53.000,-81.475,99.988,3019.780563,-0.9951139999999999,-5.734475,-0.781243,5.854493,-0.041299,-0.7876920000000001,1.7814683416907422e-05,-2.2045007672052036e-06,-1.6567008861272222e-06,1.759995635750081e-05
1 Jan 2011 00:00:54.000,-81.509,100.069,3019.741165,-0.995834,-5.734984,-0.776767,5.855128,-0.041063999999999996,-0.783216,1.781392873649822e-05,-2.2003941039393503e-06,-1.6646965370771556e-06,1.7598951907878757e-05
1 Jan 2011 00:00:55.000,-81.542,100.15100000000001,3019.700946,-0.996555,-5.735491000000001,-0.7722899999999999,5.855759,-0.04083,-0.77874,1.7813247801907385e-05,-2.1962319208328706e-06,-1.6725809080457538e-06,1.7598034995649766e-05
1 Jan 2011 00:00:56.000,-81.57600000000001,100.234,3019.659906,-0.997275,-5.735994,-0.7678119999999999,5.856388,-0.040596,-0.774263,1.7812502507642795e-05,-2.192014145412582e-06,-1.6806413911854078e-06,1.7597038503263167e-05
