"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)"
Mar 17 2015 00:50:00.000000000,62.5,-150.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-145.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-140.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-135.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-130.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-125.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-120.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-115.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-110.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-105.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-100.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-95.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-90.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-85.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-80.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-75.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-70.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-65.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-60.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-55.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-50.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-45.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-40.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-35.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-30.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-25.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-20.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-15.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-10.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-5.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,0.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,5.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,10.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,15.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,20.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,25.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,30.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,35.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,40.0,120.0
