Time (UTCG),Lat (deg),Lon (deg),Alt (km),Interpolated_Data
Jan 01 2015 01:01:54.000000000,14.86870295,65.43073810000001,153.2180372,1377.5474813814499
Jan 01 2015 01:01:55.000000000,14.94335304,65.43072090000004,153.56376809999998,1377.6740789388452
Jan 01 2015 01:01:56.000000000,15.01799469,65.43070609999998,153.9111938,1377.797423171036
Jan 01 2015 01:01:57.000000000,15.09262785,65.4306938,154.2603133,1377.9174901299582
Jan 01 2015 01:01:58.000000000,15.16725249,65.43068390000002,154.61112580000002,1378.0342580213944
Jan 01 2015 01:01:59.000000000,15.24186855,65.43067659999997,154.9636305,1378.1477022976528
Jan 01 2015 01:02:00.000000000,15.31647601,65.43067169999998,155.3178266,1378.2578022118594
Jan 01 2015 01:02:01.000000000,15.39107482,65.4306693,155.67371310000001,1378.3645343135847
Jan 01 2015 01:02:02.000000000,15.46566495,65.4306694,156.0312892,1378.467876208823
Jan 01 2015 01:02:03.000000000,15.54024635,65.43067209999998,156.3905542,1378.567804886385
Jan 01 2015 01:02:04.000000000,15.61481898,65.43067730000001,156.751507,1378.6642988538401
Jan 01 2015 01:02:05.000000000,15.68938281,65.43068509999998,157.11414680000001,1378.7573353507635
Jan 01 2015 01:02:06.000000000,15.763937799999999,65.43069550000001,157.47847280000002,1378.8468924464185
Jan 01 2015 01:02:07.000000000,15.83848391,65.43070840000001,157.8444841,1378.9329488037872
Jan 01 2015 01:02:08.000000000,15.91302109,65.43072400000003,158.21217980000003,1379.0154815513256
Jan 01 2015 01:02:09.000000000,15.98754931,65.4307421,158.581559,1379.0944700080408
Jan 01 2015 01:02:10.000000000,16.06206854,65.43076299999998,158.9526208,1379.1698912859274
Jan 01 2015 01:02:11.000000000,16.13657872,65.43078640000002,159.32536430000002,1378.6251858026142
Jan 01 2015 01:02:12.000000000,16.21107982,65.4308125,159.6997888,1378.039557169019
Jan 01 2015 01:02:13.000000000,16.28557181,65.43084130000003,160.07589309999997,1377.408985778819
Jan 01 2015 01:02:14.000000000,16.36005464,65.4308728,160.4536765,1376.8521316248907
Jan 01 2015 01:02:15.000000000,16.43452827,65.43090699999999,160.8331381,1376.2970855380784
Jan 01 2015 01:02:16.000000000,16.50899267,65.43094390000002,161.21427680000002,1375.7294193966663
Jan 01 2015 01:02:17.000000000,16.583447800000002,65.43098360000002,161.5970919,1375.1490734966155
Jan 01 2015 01:02:18.000000000,16.65789362,65.43102599999997,161.9815824,1374.555989401022
Jan 01 2015 01:02:19.000000000,16.73233008,65.43107119999999,162.3677474,1373.9501080728553
Jan 01 2015 01:02:20.000000000,16.80675716,65.43111910000002,162.75558590000003,1373.3313713789632
Jan 01 2015 01:02:21.000000000,16.88117481,65.43116990000001,163.145097,1372.6997203931626
Jan 01 2015 01:02:22.000000000,16.95558299,65.43122340000002,163.5362799,1372.0550971272548
Jan 01 2015 01:02:23.000000000,17.02998167,65.4312798,163.9291335,1371.397443412568
Jan 01 2015 01:02:24.000000000,17.1043708,65.43133900000001,164.3236569,1370.7267015106472
Jan 01 2015 01:02:25.000000000,17.17875035,65.43140109999999,164.7198492,1370.042813474538
Jan 01 2015 01:02:26.000000000,17.25312028,65.4314661,165.1177094,1369.3457219050583
Jan 01 2015 01:02:27.000000000,17.32748056,65.4315339,165.51723669999998,1368.5145210674352
Jan 01 2015 01:02:28.000000000,17.40183113,65.43160460000001,165.9184299,1367.145251732794
Jan 01 2015 01:02:29.000000000,17.47617197,65.43167830000002,166.3212882,1365.7549042171627
Jan 01 2015 01:02:30.000000000,17.55050304,65.4317548,166.72581069999998,1364.355713843981
Jan 01 2015 01:02:31.000000000,17.6248243,65.43183440000001,167.13199630000003,1362.947666707801
Jan 01 2015 01:02:32.000000000,17.6991357,65.43191680000001,167.539844,1361.5307493144967
Jan 01 2015 01:02:33.000000000,17.77343722,65.4320023,167.949353,1360.104946736517
Jan 01 2015 01:02:34.000000000,17.84772881,65.43209069999997,168.3605222,1358.6702457475249
Jan 01 2015 01:02:35.000000000,17.92201044,65.43218219999997,168.7733507,1357.2266319331793
Jan 01 2015 01:02:36.000000000,17.99628207,65.4322766,169.1878375,1355.7740917517315
Jan 01 2015 01:02:37.000000000,18.07054366,65.4323742,169.6039815,1354.3126114120982
Jan 01 2015 01:02:38.000000000,18.14479517,65.4324747,170.0217819,1352.8421768180788
Jan 01 2015 01:02:39.000000000,18.21903657,65.43257830000002,170.4412375,1351.3627747047672
Jan 01 2015 01:02:40.000000000,18.29326781,65.43268500000002,170.8623475,1349.8743906314105
Jan 01 2015 01:02:41.000000000,18.36748886,65.43279480000004,171.2851108,1348.3770112620923
Jan 01 2015 01:02:42.000000000,18.44169969,65.43290780000001,171.7095264,1346.870622793458
Jan 01 2015 01:02:43.000000000,18.51590025,65.4330238,172.1355933,1345.3552118119421
Jan 01 2015 01:02:44.000000000,18.5900905,65.43314300000003,172.5633105,1343.3847809820854
Jan 01 2015 01:02:45.000000000,18.66427042,65.43326529999999,172.99267700000001,1341.3717933691835
Jan 01 2015 01:02:46.000000000,18.73843996,65.4333909,173.42369169999998,1339.2781028431443
Jan 01 2015 01:02:47.000000000,18.81259908,65.43351960000001,173.85635369999997,1342.0109682308243
Jan 01 2015 01:02:48.000000000,18.88674775,65.43365150000002,174.2906619,1346.4639235770676
Jan 01 2015 01:02:49.000000000,18.96088593,65.43378659999999,174.72661530000002,1351.1841434467103
Jan 01 2015 01:02:50.000000000,19.03501358,65.43392499999999,175.1642129,1356.121747769948
Jan 01 2015 01:02:51.000000000,19.10913067,65.43406669999999,175.6034535,1361.2779794283174
Jan 01 2015 01:02:52.000000000,19.18323716,65.4342116,176.04433630000003,1366.654077750746
Jan 01 2015 01:02:53.000000000,19.25733301,65.43435980000001,176.4868601,1372.2512828590545
Jan 01 2015 01:02:54.000000000,19.33141818,65.4345113,176.931024,1378.0708328260664
Jan 01 2015 01:02:55.000000000,19.40549264,65.43466609999999,177.3768267,1384.1139669752006
Jan 01 2015 01:02:56.000000000,19.47955635,65.43482420000001,177.82426740000002,1390.3819212786066
Jan 01 2015 01:02:57.000000000,19.55360928,65.43498579999999,178.273345,1396.8759337301447
Jan 01 2015 01:02:58.000000000,19.62765138,65.43515060000001,178.72405830000002,1403.5972371163687
Jan 01 2015 01:02:59.000000000,19.70168263,65.43531890000003,179.1764063,1410.5470690690968
Jan 01 2015 01:03:00.000000000,19.77570297,65.43549049999999,179.63038799999998,1418.7459644929024
Jan 01 2015 01:03:01.000000000,19.84971239,65.4356656,180.08600239999998,1427.4612873318365
Jan 01 2015 01:03:02.000000000,19.92371083,65.4358441,180.5432482,1436.609237050815
Jan 01 2015 01:03:03.000000000,19.99769827,65.43602599999997,181.0021245,1446.1715089570064
Jan 01 2015 01:03:04.000000000,20.07167467,65.43621140000002,181.46263009999998,1456.1502091574273
Jan 01 2015 01:03:05.000000000,20.14563999,65.4364003,181.92476399999998,1466.5474403609855
Jan 01 2015 01:03:06.000000000,20.21959419,65.43659269999998,182.38852519999998,1477.3653023638872
Jan 01 2015 01:03:07.000000000,20.29353724,65.4367886,182.8539124,1488.6058920219455
Jan 01 2015 01:03:08.000000000,20.3674691,65.43698810000001,183.3209247,1500.271304714274
Jan 01 2015 01:03:09.000000000,20.44138974,65.43719109999998,183.78956090000003,1512.3636304485265
Jan 01 2015 01:03:10.000000000,20.51529912,65.43739759999997,184.2598199,1524.8849564019351
Jan 01 2015 01:03:11.000000000,20.589197199999997,65.4376077,184.7317007,1537.8373687058252
Jan 01 2015 01:03:12.000000000,20.66308395,65.43782140000002,185.205202,1551.2229487456966
Jan 01 2015 01:03:13.000000000,20.73695933,65.43803880000002,185.6803229,1565.043777487626
Jan 01 2015 01:03:14.000000000,20.8108233,65.43825980000003,186.15706219999998,1579.301927873199
Jan 01 2015 01:03:15.000000000,20.88467584,65.4384844,186.6354188,1593.9994747962912
Jan 01 2015 01:03:16.000000000,20.9585169,65.4387126,187.11539150000002,1614.1986665016927
Jan 01 2015 01:03:17.000000000,21.03234645,65.43894460000001,187.59697930000002,1634.5178214855137
Jan 01 2015 01:03:18.000000000,21.10616445,65.43918030000003,188.080181,1655.9502668461741
Jan 01 2015 01:03:19.000000000,21.17997087,65.43941960000001,188.5649955,1678.1496463945855
Jan 01 2015 01:03:20.000000000,21.25376567,65.43966280000001,189.0514216,1704.803537629998
Jan 01 2015 01:03:21.000000000,21.32754881,65.4399096,189.5394583,1715.7349211470637
Jan 01 2015 01:03:22.000000000,21.40132026,65.44016020000001,190.0291044,1726.301743719669
Jan 01 2015 01:03:23.000000000,21.47507999,65.44041469999999,190.52035869999997,1736.77599192655
Jan 01 2015 01:03:24.000000000,21.54882796,65.44067290000004,191.01322009999998,1747.1569975465645
Jan 01 2015 01:03:25.000000000,21.62256413,65.4409349,191.5076875,1757.4441014065615
Jan 01 2015 01:03:26.000000000,21.69628847,65.44120079999999,192.0037596,1767.6366394607378
Jan 01 2015 01:03:27.000000000,21.77000095,65.44147050000001,192.50143549999999,1777.7339472285862
Jan 01 2015 01:03:28.000000000,21.84370152,65.44174410000002,193.0007138,1787.7353563963002
Jan 01 2015 01:03:29.000000000,21.91739016,65.4420216,193.5015935,1797.640201785654
Jan 01 2015 01:03:30.000000000,21.99106682,65.44230299999998,194.0040733,1807.4478109097531
Jan 01 2015 01:03:31.000000000,22.06473148,65.44258829999998,194.5081521,1838.117008934631
Jan 01 2015 01:03:32.000000000,22.13838409,65.44287749999998,195.01382880000003,1870.7680468396925
