Time (UTCG),Lat (deg),Lon (deg),Alt (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Mar 17 2015 00:50:00.00000,87.5,-180.0,500.0,116341.039104,2783.795166015625,1708.4718017578125,110911.602688,,
Mar 17 2015 00:50:00.00000,87.5,-175.0,500.0,116144.070656,2784.4580078125,1708.1470947265625,110728.798208,,
Mar 17 2015 00:50:00.00000,87.5,-170.0,500.0,115897.63072,2785.0068359375,1707.7760009765625,110498.177024,,
Mar 17 2015 00:50:00.00000,87.5,-165.0,500.0,115602.776064,2785.447998046875,1707.356689453125,110220.6976,,
Mar 17 2015 00:50:00.00000,87.5,-160.0,500.0,115264.59392,2785.78759765625,1706.888427734375,109901.12768,,
Mar 17 2015 00:50:00.00000,87.5,-155.0,500.0,114885.79584,2786.01611328125,1706.3714599609375,109541.9904,,
Mar 17 2015 00:50:00.00000,87.5,-150.0,500.0,114471.23968,2786.134033203125,1705.8067626953125,109147.758592,,
Mar 17 2015 00:50:00.00000,87.5,-145.0,500.0,114026.61888,2786.129150390625,1705.1976318359375,108723.847168,,
Mar 17 2015 00:50:00.00000,87.5,-140.0,500.0,113555.611648,2786.01220703125,1704.54833984375,108273.729536,,
Mar 17 2015 00:50:00.00000,87.5,-135.0,500.0,113064.951808,2785.747314453125,1703.86474609375,107803.705344,,
Mar 17 2015 00:50:00.00000,87.5,-130.0,500.0,112560.029696,2785.328857421875,1703.15478515625,107318.92736,,
Mar 17 2015 00:50:00.00000,87.5,-125.0,500.0,112045.359104,2784.743896484375,1702.427734375,106823.712768,,
Mar 17 2015 00:50:00.00000,87.5,-120.0,500.0,111527.108608,2783.96826171875,1701.69580078125,106323.861504,,
Mar 17 2015 00:50:00.00000,87.5,-115.0,500.0,111009.251328,2782.97802734375,1700.9718017578125,105823.363072,,
Mar 17 2015 00:50:00.00000,87.5,-110.0,500.0,110496.915456,2781.74951171875,1700.2701416015625,105327.099904,,
Mar 17 2015 00:50:00.00000,87.5,-105.0,500.0,109993.94304,2780.24951171875,1699.60693359375,104838.79936,,
Mar 17 2015 00:50:00.00000,87.5,-100.0,500.0,109505.150976,2778.452392578125,1698.9986572265625,104363.220992,,
Mar 17 2015 00:50:00.00000,87.5,-95.0,500.0,109033.111552,2776.324951171875,1698.4613037109375,103903.010816,,
Mar 17 2015 00:50:00.00000,87.5,-90.0,500.0,108581.306368,2773.840576171875,1698.010498046875,103461.6832,,
Mar 17 2015 00:50:00.00000,87.5,-85.0,500.0,108153.069568,2770.97802734375,1697.6597900390625,103042.514944,,
Mar 17 2015 00:50:00.00000,87.5,-80.0,500.0,107749.310464,2767.728759765625,1697.42041015625,102646.677504,,
Mar 17 2015 00:50:00.00000,87.5,-75.0,500.0,107374.247936,2764.083251953125,1697.3004150390625,102278.258688,,
Mar 17 2015 00:50:00.00000,87.5,-70.0,500.0,107027.939328,2760.076416015625,1697.3033447265625,101937.586176,,
Mar 17 2015 00:50:00.00000,87.5,-65.0,500.0,106711.867392,2755.74658203125,1697.4295654296875,101626.077184,,
Mar 17 2015 00:50:00.00000,87.5,-60.0,500.0,106427.547648,2751.161376953125,1697.6748046875,101345.36192,,
Mar 17 2015 00:50:00.00000,87.5,-55.0,500.0,106175.340544,2746.40576171875,1698.0308837890625,101095.8336,,
Mar 17 2015 00:50:00.00000,87.5,-50.0,500.0,105955.917824,2741.59326171875,1698.486328125,100878.270464,,
Mar 17 2015 00:50:00.00000,87.5,-45.0,500.0,105770.172416,2736.838134765625,1699.0274658203125,100693.450752,,
Mar 17 2015 00:50:00.00000,87.5,-40.0,500.0,105617.047552,2732.26416015625,1699.6390380859375,100540.481536,,
Mar 17 2015 00:50:00.00000,87.5,-35.0,500.0,105497.239552,2727.985107421875,1700.3043212890625,100419.9936,,
Mar 17 2015 00:50:00.00000,87.5,-30.0,500.0,105410.64192,2724.092529296875,1701.007568359375,100332.01152,,
Mar 17 2015 00:50:00.00000,87.5,-25.0,500.0,105356.36992,2720.674560546875,1701.732421875,100275.593216,,
Mar 17 2015 00:50:00.00000,87.5,-20.0,500.0,105334.792192,2717.788818359375,1702.46435546875,100251.148288,,
Mar 17 2015 00:50:00.00000,87.5,-15.0,500.0,105344.253952,2715.48681640625,1703.190673828125,100257.079296,,
Mar 17 2015 00:50:00.00000,87.5,-10.0,500.0,105718.759424,2713.765869140625,1703.8995361328125,100611.186688,,
Mar 17 2015 00:50:00.00000,87.5,-5.0,500.0,105792.602112,2712.63232421875,1704.5816650390625,100679.950336,,
Mar 17 2015 00:50:00.00000,87.5,0.0,500.0,105505.5872,2712.079833984375,1705.2291259765625,100406.050816,,
Mar 17 2015 00:50:00.00000,87.5,5.0,500.0,105639.215104,2712.076171875,1705.8360595703125,100533.190656,,
Mar 17 2015 00:50:00.00000,87.5,10.0,500.0,105803.440128,2712.58154296875,1706.398193359375,100690.034688,,
Mar 17 2015 00:50:00.00000,87.5,15.0,500.0,105996.4928,2713.5556640625,1706.9129638671875,100874.911744,,
Mar 17 2015 00:50:00.00000,87.5,20.0,500.0,106219.741184,2714.9521484375,1707.3787841796875,101089.124352,,
Mar 17 2015 00:50:00.00000,87.5,25.0,500.0,106470.547456,2716.722900390625,1707.795654296875,101330.034688,,
Mar 17 2015 00:50:00.00000,87.5,30.0,500.0,106750.517248,2718.804931640625,1708.1644287109375,101599.264768,,
Mar 17 2015 00:50:00.00000,87.5,35.0,500.0,107057.963008,2721.157958984375,1708.4869384765625,101895.020544,,
Mar 17 2015 00:50:00.00000,87.5,40.0,500.0,107391.229952,2723.72802734375,1708.7655029296875,102215.737344,,
