Time (UTCG),Lat (deg),Lon (deg),Alt (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Mar 17 2015 00:50:00.00000,87.5,-180.0,100.0,20652.417024,178.90618896484375,178.90618896484375,5.139611857885029e-12,4577.544704,16074.873856
Mar 17 2015 00:50:00.00000,87.5,-175.0,100.0,20532.686848,178.88673400878906,178.88673400878906,3.0400494779314613e-12,4530.766848,16001.92
Mar 17 2015 00:50:00.00000,87.5,-170.0,100.0,20369.281024,178.86875915527344,178.86875915527344,1.4551740150636761e-12,4467.078656,15902.204928
Mar 17 2015 00:50:00.00000,87.5,-165.0,100.0,20163.612672,178.8525848388672,178.8525848388672,5.624135610560188e-13,4387.300864,15776.313344
Mar 17 2015 00:50:00.00000,87.5,-160.0,100.0,19917.451264,178.8384552001953,178.8384552001953,1.8276782043358252e-13,4292.457984,15624.993792
Mar 17 2015 00:50:00.00000,87.5,-155.0,100.0,19633.035264,178.82655334472656,178.82655334472656,6.182290235301479e-14,4183.802368,15449.232384
Mar 17 2015 00:50:00.00000,87.5,-150.0,100.0,19312.893952,178.81698608398438,178.81698608398438,3.320194252864894e-14,4062.73152,15250.163712
Mar 17 2015 00:50:00.00000,87.5,-145.0,100.0,18959.921152,178.80987548828125,178.80987548828125,2.7739780250612967e-14,3930.799616,15029.123072
Mar 17 2015 00:50:00.00000,87.5,-140.0,100.0,18577.43872,178.8052215576172,178.8052215576172,2.621860417661992e-14,3789.720832,14787.71712
Mar 17 2015 00:50:00.00000,87.5,-135.0,100.0,18169.024512,178.80296325683594,178.80296325683594,2.5100781897435807e-14,3641.283328,14527.740928
Mar 17 2015 00:50:00.00000,87.5,-130.0,100.0,17738.467328,178.80303955078125,178.80303955078125,2.3979145780117507e-14,3487.310848,14251.155456
Mar 17 2015 00:50:00.00000,87.5,-125.0,100.0,17289.897984,178.80523681640625,178.80523681640625,2.2837305380107865e-14,3329.692416,13960.204288
Mar 17 2015 00:50:00.00000,87.5,-120.0,100.0,16827.505664,178.80941772460938,178.80941772460938,2.1687423412686256e-14,3170.256128,13657.250816
Mar 17 2015 00:50:00.00000,87.5,-115.0,100.0,16355.667968,178.81532287597656,178.81532287597656,2.0542394452149892e-14,3010.798592,13344.867328
Mar 17 2015 00:50:00.00000,87.5,-110.0,100.0,15869.036544,178.82269287109375,178.82269287109375,1.939152838303926e-14,2849.830656,13019.203584
Mar 17 2015 00:50:00.00000,87.5,-105.0,100.0,15367.156736,178.8312225341797,178.8312225341797,1.8236679721894687e-14,2687.597312,12679.560192
Mar 17 2015 00:50:00.00000,87.5,-100.0,100.0,14871.158784,178.84059143066406,178.84059143066406,1.7127488760593223e-14,2531.100416,12340.058112
Mar 17 2015 00:50:00.00000,87.5,-95.0,100.0,14385.266688,178.85049438476562,178.85049438476562,1.6072030817326776e-14,2381.5552,12003.713024
Mar 17 2015 00:50:00.00000,87.5,-90.0,100.0,13913.178112,178.86062622070312,178.86062622070312,1.507622293672739e-14,2239.886592,11673.291776
Mar 17 2015 00:50:00.00000,87.5,-85.0,100.0,13458.47808,178.8706817626953,178.8706817626953,1.4144890592149296e-14,2106.876416,11351.602176
Mar 17 2015 00:50:00.00000,87.5,-80.0,100.0,13024.155648,178.88040161132812,178.88040161132812,1.32809105934939e-14,1983.029248,11041.128448
Mar 17 2015 00:50:00.00000,87.5,-75.0,100.0,12612.866048,178.88954162597656,178.88954162597656,1.2485946498941303e-14,1868.679808,10744.185856
Mar 17 2015 00:50:00.00000,87.5,-70.0,100.0,12226.768896,178.8979034423828,178.8979034423828,1.1760322493614694e-14,1763.966848,10462.80192
Mar 17 2015 00:50:00.00000,87.5,-65.0,100.0,11867.809792,178.90533447265625,178.90533447265625,1.11037286032456e-14,1668.931968,10198.878208
Mar 17 2015 00:50:00.00000,87.5,-60.0,100.0,11537.462272,178.91175842285156,178.91175842285156,1.0514898285407526e-14,1583.471872,9953.990656
Mar 17 2015 00:50:00.00000,87.5,-55.0,100.0,11236.779008,178.91708374023438,178.91708374023438,9.991840244083506e-15,1507.371776,9729.406976
Mar 17 2015 00:50:00.00000,87.5,-50.0,100.0,10966.750208,178.9213409423828,178.9213409423828,9.532628020281208e-15,1440.414976,9526.334464
Mar 17 2015 00:50:00.00000,87.5,-45.0,100.0,10727.922688,178.92454528808594,178.92454528808594,9.134788037101771e-15,1382.297984,9345.624064
